Body / Link,Parent Body,Depth,Hierarchy,Body Position,Body Quaternion,Mass (kg),Inertial Position,Inertial Quaternion,Diagonal Inertia
base_link,worldbody,0,base_link,0 0 0.869244,,9.20601,-0.00481332 -0.00043642 0.263135,1 0.000424804 0.000863188 0.00024888,0.174408 0.123624 0.0612694
RA_link_1,base_link,1,base_link -> RA_link_1,0 -0.186188 0.413673,0.130526 0.991445 0 0,1.0327,0.00576251 0.0336236 1.12826e-05,0.314991 0.310568 0.635431 0.632895,0.000154987 0.000148923 0.000106852
RA_link_2,RA_link_1,2,base_link -> RA_link_1 -> RA_link_2,-0.01005 0.047 0,,0.440997,0.010695 6.77449e-05 0.0145035,0.707745 -0.0432061 -0.0496441 0.703396,0.000101463 9.89769e-05 9.14257e-05
RA_link_3,RA_link_2,3,base_link -> RA_link_1 -> RA_link_2 -> RA_link_3,0.01115 0 0.0797,,1.36503,0.000103332 -0.000217092 0.0401068,0.703488 -0.0129438 0.0135747 0.71046,0.000750106 0.000747245 0.000257401
RA_link_4,RA_link_3,4,base_link -> RA_link_1 -> RA_link_2 -> RA_link_3 -> RA_link_4,0 -0.04875 0.1478,,0.246311,-1.02695e-05 0.0494863 0.015605,0.602012 0.370099 -0.3713 0.602282,0.00016428 0.000135526 0.000118709
RA_link_5,RA_link_4,5,base_link -> RA_link_1 -> RA_link_2 -> RA_link_3 -> RA_link_4 -> RA_link_5,0 0.0443904 0.0656,,0.986828,-0.000223943 0.000114356 0.0698486,0.615448 0.0488004 0.0455833 0.785344,0.000509145 0.000505522 0.000204511
RA_link_6,RA_link_5,6,base_link -> RA_link_1 -> RA_link_2 -> RA_link_3 -> RA_link_4 -> RA_link_5 -> RA_link_6,0.038 0 0.20025,,0.262007,-0.0369963 -0.00377651 -5.11977e-08,0.447324 0.547617 -0.447342 0.547634,7.84219e-05 7.18493e-05 5.86975e-05
RA_link_7,RA_link_6,7,base_link -> RA_link_1 -> RA_link_2 -> RA_link_3 -> RA_link_4 -> RA_link_5 -> RA_link_6 -> RA_link_7,-0.038 0.02985 0,0.999048 0 -0.0436194 0,0.131751,-7.93279e-07 -0.0178482 0.0559116,0.695625 0.135126 -0.137099 0.692135,3.93248e-05 3.42338e-05 1.96929e-05
RA_hand_link,RA_link_7,8,base_link -> RA_link_1 -> RA_link_2 -> RA_link_3 -> RA_link_4 -> RA_link_5 -> RA_link_6 -> RA_link_7 -> RA_hand_link,0 -0.02985 0.084,0 -1 0 0,0.218186,0.009857 0.0023 -0.083281,0.66048 -0.273585 -0.259574 0.64926,0.000123359 7.94245e-05 7.13015e-05
RA_link_6_motor_crank_shaft,RA_link_5,6,base_link -> RA_link_1 -> RA_link_2 -> RA_link_3 -> RA_link_4 -> RA_link_5 -> RA_link_6_motor_crank_shaft,0.0425 0 0.11425,,0.0365296,0.000649365 -0.00256982 1.41571e-10,0.706721 0.706721 0.0233405 0.0233405,5.46024e-06 3.13321e-06 2.57808e-06
