Geom,Body / Link,Parent Body,Type,Mesh,Position,Quaternion,Group,Contype,Conaffinity,Density,RGBA
,base_link,worldbody,mesh,base_link,,,1,0,0,0,0.792157 0.819608 0.933333 1
base_link_collision,base_link,worldbody,mesh,base_link_collision,,,3,,,,0.792157 0.819608 0.933333 0
,RA_link_1,base_link,mesh,RA_link_1,,,1,0,0,0,0.792157 0.819608 0.933333 1
RA_link_1_collision,RA_link_1,base_link,mesh,RA_link_1_collision,,,3,,,,0.792157 0.819608 0.933333 0
,RA_link_2,RA_link_1,mesh,RA_link_2,,,1,0,0,0,0.894118 0.894118 0.894118 1
RA_link_2_collision,RA_link_2,RA_link_1,mesh,RA_link_2_collision,,,3,,,,0.894118 0.894118 0.894118 0
,RA_link_3,RA_link_2,mesh,RA_link_3,,,1,0,0,0,0.894118 0.894118 0.894118 1
RA_link_3_collision,RA_link_3,RA_link_2,mesh,RA_link_3_collision,,,3,,,,0.894118 0.894118 0.894118 0
,RA_link_4,RA_link_3,mesh,RA_link_4,,,1,0,0,0,0.894118 0.894118 0.894118 1
RA_link_4_collision,RA_link_4,RA_link_3,mesh,RA_link_4_collision,,,3,,,,0.894118 0.894118 0.894118 0
,RA_link_5,RA_link_4,mesh,RA_link_5,,,1,0,0,0,0.627451 0.627451 0.627451 1
RA_link_5_collision,RA_link_5,RA_link_4,mesh,RA_link_5_collision,,,3,,,,0.627451 0.627451 0.627451 0
,RA_link_6,RA_link_5,mesh,RA_link_6,,,1,0,0,0,0.792157 0.819608 0.933333 1
RA_link_6_collision,RA_link_6,RA_link_5,mesh,RA_link_6_collision,,,3,,,,0.792157 0.819608 0.933333 0
,RA_link_7,RA_link_6,mesh,RA_link_7,,,1,0,0,0,0.792157 0.819608 0.933333 1
RA_link_7_collision,RA_link_7,RA_link_6,mesh,RA_link_7_collision,,,3,,,,0.792157 0.819608 0.933333 0
,RA_hand_link,RA_link_7,mesh,RA_hand_link,-0.824664 0 0.149873,0.707107 0 0 0.707107,1,0,0,0,0.792157 0.819608 0.933333 1
RA_hand_link_collision,RA_hand_link,RA_link_7,mesh,RA_hand_link_collision,,,3,,,,0.792157 0.819608 0.933333 0
,RA_link_6_motor_crank_shaft,RA_link_5,mesh,RA_link_6_motor_crank_shaft,,,1,0,0,0,0.792157 0.819608 0.933333 1
RA_link_6_motor_crank_shaft_collision,RA_link_6_motor_crank_shaft,RA_link_5,mesh,RA_link_6_motor_crank_shaft_collision,,,3,,,,0.792157 0.819608 0.933333 0
,LA_link_1,base_link,mesh,LA_link_1,0 0 0,1.32679e-06 1 0 0,1,0,0,0,0.792157 0.819608 0.933333 1
LA_link_1_collision,LA_link_1,base_link,mesh,LA_link_1_collision,,,3,,,,0.792157 0.819608 0.933333 0
,LA_link_2,LA_link_1,mesh,LA_link_2,,0.707098 0.707101 -0.00322464 0.00322465,1,0,0,0,0.894118 0.894118 0.894118 1
LA_link_2_collision,LA_link_2,LA_link_1,mesh,LA_link_2_collision,,,3,,,,0.894118 0.894118 0.894118 0
,LA_link_3,LA_link_2,mesh,LA_link_3,,1.32678e-06 0.99999 -6.05063e-09 0.00456033,1,0,0,0,0.894118 0.894118 0.894118 1
