Joint,Joint Type,Parent Link,Child Link,Hierarchy,Position,Axis,Range Min (rad),Range Max (rad),Range,Actuator Force Min,Actuator Force Max,Armature,Damping,Friction Loss
floating_base_joint,free,worldbody,base_link,base_link,,,,,,,,0,0,0
shoulder_pitch_r_joint,hinge,base_link,RA_link_1,base_link -> RA_link_1,0 0 0,0 1 0,-2.96706,2.96706,-2.96706 2.96706,-91,91,0,0,0
shoulder_roll_r_joint,hinge,RA_link_1,RA_link_2,base_link -> RA_link_1 -> RA_link_2,0 0 0,1 0 0,-2.61799,0.261799,-2.61799 0.261799,-95,95,0,0,0
shoulder_yaw_r_joint,hinge,RA_link_2,RA_link_3,base_link -> RA_link_1 -> RA_link_2 -> RA_link_3,0 0 0,0 0 1,-2.96706,2.96706,-2.96706 2.96706,-35,35,0,0,0
elbow_pitch_r_joint,hinge,RA_link_3,RA_link_4,base_link -> RA_link_1 -> RA_link_2 -> RA_link_3 -> RA_link_4,0 0 0,0 -1 0,-2.61799,2.61799,-2.61799 2.61799,-35,35,0,0,0
elbow_yaw_r_joint,hinge,RA_link_4,RA_link_5,base_link -> RA_link_1 -> RA_link_2 -> RA_link_3 -> RA_link_4 -> RA_link_5,0 0 0,0 0 -1,-2.96706,2.96706,-2.96706 2.96706,-24,24,0,0,0
wrist_roll_r_joint,hinge,RA_link_5,RA_link_6,base_link -> RA_link_1 -> RA_link_2 -> RA_link_3 -> RA_link_4 -> RA_link_5 -> RA_link_6,0 0 0,-1 0 0,-1.309,1.65806,-1.309 1.65806,-6.3,6.3,0,0,0
wrist_pitch_r_joint,hinge,RA_link_6,RA_link_7,base_link -> RA_link_1 -> RA_link_2 -> RA_link_3 -> RA_link_4 -> RA_link_5 -> RA_link_6 -> RA_link_7,0 0 0,0 -1 0,-0.785398,1.0472,-0.785398 1.0472,-6.3,6.3,0,0,0
shoulder_pitch_l_joint,hinge,base_link,LA_link_1,base_link -> LA_link_1,0 0 0,0 1 0,-2.96706,2.96706,-2.96706 2.96706,-91,91,0,0,0
shoulder_roll_l_joint,hinge,LA_link_1,LA_link_2,base_link -> LA_link_1 -> LA_link_2,0 0 0,1 0 0,-0.261799,2.61799,-0.261799 2.61799,-95,95,0,0,0
shoulder_yaw_l_joint,hinge,LA_link_2,LA_link_3,base_link -> LA_link_1 -> LA_link_2 -> LA_link_3,0 0 0,0 0 1,-2.96706,2.96706,-2.96706 2.96706,-35,35,0,0,0
elbow_pitch_l_joint,hinge,LA_link_3,LA_link_4,base_link -> LA_link_1 -> LA_link_2 -> LA_link_3 -> LA_link_4,0 0 0,0 -1 0,-2.61799,2.61799,-2.61799 2.61799,-35,35,0,0,0
elbow_yaw_l_joint,hinge,LA_link_4,LA_link_5,base_link -> LA_link_1 -> LA_link_2 -> LA_link_3 -> LA_link_4 -> LA_link_5,0 0 0,0 0 -1,-2.96706,2.96706,-2.96706 2.96706,-24,24,0,0,0
wrist_pitch_l_joint,hinge,LA_link_5,LA_link_6,base_link -> LA_link_1 -> LA_link_2 -> LA_link_3 -> LA_link_4 -> LA_link_5 -> LA_link_6,0 0 0,-0.0182404 0.999823 -0.00455958,-0.785398,1.0472,-0.785398 1.0472,-6.3,6.3,0,0,0
wrist_roll_l_joint,hinge,LA_link_6,LA_link_7,base_link -> LA_link_1 -> LA_link_2 -> LA_link_3 -> LA_link_4 -> LA_link_5 -> LA_link_6 -> LA_link_7,0 0 0,-1 0 0,-1.309,1.65806,-1.309 1.65806,-6.3,6.3,0,0,0
waist_joint,hinge,base_link,hip_link,base_link -> hip_link,0 0 0,0 0 1,-2.96706,3.14159,-2.96706 3.14159,-91,91,0,0,0
hip_roll_r_joint,hinge,hip_link,RL_link_1,base_link -> hip_link -> RL_link_1,0 0 0,1 0 0,-0.819882,0.369248,-0.819882 0.369248,-235,235,0,0,0
hip_yaw_r_joint,hinge,RL_link_1,RL_link_2,base_link -> hip_link -> RL_link_1 -> RL_link_2,0 0 0,0 0 1,-1.42496,1.42242,-1.42496 1.42242,-235,235,0,0,0
