Mesh Name,Mesh File,Content Type
base_link,base_link.STL,
RA_link_1,RA_link_1.STL,
RA_link_2,RA_link_2.STL,
RA_link_3,RA_link_3.STL,
RA_link_4,RA_link_4.STL,
RA_link_5,RA_link_5.STL,
RA_link_6,RA_link_6.STL,
RA_link_7,RA_link_7.STL,
RA_hand_link,RA_hand_link.STL,
RA_link_6_motor_crank_shaft,RA_link_6_motor_crank_shaft.STL,
LA_link_1,LA_link_1.STL,
LA_link_2,LA_link_2.STL,
LA_link_3,LA_link_3.STL,
LA_link_4,LA_link_4.STL,
LA_link_5,LA_link_5.STL,
LA_link_6,LA_link_6.STL,
LA_link_7,LA_link_7.STL,
LA_hand_link,LA_hand_link.STL,
LA_link_6_crank_shaft,LA_link_6_crank_shaft.STL,
hip_link,hip_link.STL,
RL_link_1,RL_link_1.STL,
RL_link_2,RL_link_2.STL,
RL_link_3,RL_link_3.STL,
RL_link_4,RL_link_4.STL,
RL_foot_pitch_link,RL_foot_pitch_link.STL,
RL_foot_roll_link,RL_foot_roll_link.STL,
RL_foot_pitch_crank,RL_foot_pitch_crank.STL,
RL_foot_roll_crank,RL_foot_roll_crank.STL,
RL_link_4_crank_shaft,RL_link_4_crank_shaft.STL,
LL_link_1,LL_link_1.STL,
LL_link_2,LL_link_2.STL,model/stl
LL_link_3,LL_link_3.STL,model/stl
LL_link_4,LL_link_4.STL,model/stl
LL_foot_pitch_link,LL_foot_pitch_link.STL,
LL_foot_roll_link,LL_foot_roll_link.STL,model/stl
LL_foot_pitch_crank,LL_foot_pitch_crank.STL,
LL_foot_roll_crank,LL_foot_roll_crank.STL,
LL_link_4_crank_shaft,LL_link_4_crank_shaft.STL,model/stl
hip_right_site_imu,hip_right_site_imu.STL,model/stl
hip_left_site_imu,hip_left_site_imu.STL,model/stl
hip_rear_site_imu,hip_rear_site_imu.STL,model/stl
vectornav_hip_front_site_imu,vectornav_hip_front_site_imu.STL,model/stl
gemini_depth_camera,gemini_depth_camera.STL,model/stl
head_link_1,head_link_1.STL,model/stl
head_link_2,head_link_2.STL,model/stl
head_link_3,head_link_3.STL,model/stl
head_link_3_crank_shaft,head_link_3_crank_shaft.STL,
head_camera,head_camera.STL,model/stl
base_link_collision,collision_hulls/base_link.STL,
RA_link_1_collision,collision_hulls/RA_link_1.STL,
RA_link_2_collision,collision_hulls/RA_link_2.STL,
RA_link_3_collision,collision_hulls/RA_link_3.STL,
RA_link_4_collision,collision_hulls/RA_link_4.STL,
RA_link_5_collision,collision_hulls/RA_link_5.STL,
RA_link_6_collision,collision_hulls/RA_link_6.STL,
RA_link_7_collision,collision_hulls/RA_link_7.STL,
RA_hand_link_collision,collision_hulls/RA_hand_link.STL,
RA_link_6_motor_crank_shaft_collision,collision_hulls/RA_link_6_motor_crank_shaft.STL,
LA_link_1_collision,collision_hulls/LA_link_1.STL,
LA_link_2_collision,collision_hulls/LA_link_2.STL,
LA_link_3_collision,collision_hulls/LA_link_3.STL,
LA_link_4_collision,collision_hulls/LA_link_4.STL,
LA_link_5_collision,collision_hulls/LA_link_5.STL,
LA_link_6_collision,collision_hulls/LA_link_6.STL,
LA_link_7_collision,collision_hulls/LA_link_7.STL,
LA_hand_link_collision,collision_hulls/LA_hand_link.STL,
LA_link_6_crank_shaft_collision,collision_hulls/LA_link_6_crank_shaft.STL,
hip_link_collision,collision_hulls/hip_link.STL,
RL_link_1_collision,collision_hulls/RL_link_1.STL,
RL_link_2_collision,collision_hulls/RL_link_2.STL,
RL_link_3_collision,collision_hulls/RL_link_3.STL,
RL_link_4_collision,collision_hulls/RL_link_4.STL,
RL_foot_pitch_link_collision,collision_hulls/RL_foot_pitch_link.STL,
RL_foot_roll_link_collision,collision_hulls/RL_foot_roll_link.STL,
RL_foot_pitch_crank_collision,collision_hulls/RL_foot_pitch_crank.STL,
RL_foot_roll_crank_collision,collision_hulls/RL_foot_roll_crank.STL,
RL_link_4_crank_shaft_collision,collision_hulls/RL_link_4_crank_shaft.STL,
LL_link_1_collision,collision_hulls/LL_link_1.STL,
LL_link_2_collision,collision_hulls/LL_link_2.STL,
LL_link_3_collision,collision_hulls/LL_link_3.STL,
LL_link_4_collision,collision_hulls/LL_link_4.STL,
LL_foot_pitch_link_collision,collision_hulls/LL_foot_pitch_link.STL,
LL_foot_roll_link_collision,collision_hulls/LL_foot_roll_link.STL,
LL_foot_pitch_crank_collision,collision_hulls/LL_foot_pitch_crank.STL,
LL_foot_roll_crank_collision,collision_hulls/LL_foot_roll_crank.STL,
LL_link_4_crank_shaft_collision,collision_hulls/LL_link_4_crank_shaft.STL,
hip_right_site_imu_collision,collision_hulls/hip_right_site_imu.STL,
hip_left_site_imu_collision,collision_hulls/hip_left_site_imu.STL,
hip_rear_site_imu_collision,collision_hulls/hip_rear_site_imu.STL,
vectornav_hip_front_site_imu_collision,collision_hulls/vectornav_hip_front_site_imu.STL,
gemini_depth_camera_collision,collision_hulls/gemini_depth_camera.STL,
head_link_1_collision,collision_hulls/head_link_1.STL,
head_link_2_collision,collision_hulls/head_link_2.STL,
head_link_3_collision,collision_hulls/head_link_3.STL,
head_link_3_crank_shaft_collision,collision_hulls/head_link_3_crank_shaft.STL,
head_camera_collision,collision_hulls/head_camera.STL,
